Depth [m],6/15/2012 14:14,6/15/2012 14:17,6/15/2012 14:20,6/15/2012 14:22,6/15/2012 14:25,6/15/2012 14:28,6/15/2012 14:31,6/15/2012 14:34,6/15/2012 14:37,6/15/2012 14:40,6/15/2012 14:43,6/15/2012 14:46,6/15/2012 14:48,6/15/2012 14:51,6/15/2012 14:54,6/15/2012 14:57
0,28.459,28.183,28.423,28.51,28.592,28.57,28.647,28.743,28.833,28.902,29.001,29.027,29.1,29.121,29.22,29.295
0.5,28.436,28.178,28.429,28.481,28.555,28.575,28.625,28.742,28.87,28.906,29.005,29.02,29.069,29.105,29.23,29.291
1,28.402,28.178,28.443,28.502,28.578,28.638,28.632,28.766,28.84,28.893,28.977,29.02,29.044,29.12,29.222,29.28
1.5,28.395,28.188,28.455,28.541,28.641,28.686,28.645,28.768,28.782,28.881,28.971,29.036,29.062,29.166,29.231,29.288
2,28.431,28.229,28.491,28.572,28.691,28.709,28.674,28.758,28.794,28.89,28.99,29.072,29.122,29.214,29.27,29.326
2.5,28.479,28.293,28.534,28.6,28.711,28.739,28.719,28.778,28.865,28.907,28.997,29.096,29.169,29.241,29.287,29.353
3,28.513,28.338,28.54,28.626,28.719,28.779,28.743,28.82,28.907,28.915,28.982,29.086,29.158,29.238,29.265,29.343
3.5,28.535,28.345,28.524,28.633,28.722,28.797,28.739,28.845,28.892,28.918,28.973,29.064,29.126,29.208,29.246,29.33
4,28.538,28.329,28.522,28.609,28.712,28.766,28.734,28.837,28.857,28.918,28.973,29.043,29.12,29.159,29.243,29.337
4.5,28.51,28.304,28.518,28.563,28.681,28.687,28.709,28.802,28.809,28.895,28.955,29.01,29.118,29.109,29.231,29.337
5,28.456,28.256,28.478,28.516,28.636,28.608,28.649,28.747,28.753,28.85,28.911,28.964,29.087,29.079,29.213,29.316
5.5,28.413,28.189,28.413,28.49,28.59,28.58,28.599,28.696,28.723,28.813,28.87,28.924,29.054,29.075,29.204,29.289
6,28.414,28.156,28.375,28.49,28.56,28.595,28.599,28.676,28.741,28.801,28.855,28.914,29.056,29.08,29.19,29.254
6.5,28.44,28.172,28.375,28.486,28.553,28.609,28.63,28.686,28.764,28.801,28.846,28.935,29.062,29.074,29.164,29.215
7,28.45,28.198,28.378,28.458,28.557,28.605,28.658,28.703,28.75,28.797,28.825,28.95,29.026,29.061,29.152,29.206
7.5,28.454,28.208,28.376,28.439,28.569,28.607,28.668,28.717,28.729,28.801,28.826,28.94,28.979,29.064,29.173,29.239
8,28.472,28.204,28.391,28.463,28.58,28.626,28.661,28.742,28.753,28.831,28.876,28.936,28.987,29.099,29.209,29.272
8.5,28.462,28.184,28.414,28.497,28.571,28.634,28.651,28.777,28.808,28.873,28.937,28.964,29.046,29.16,29.223,29.283
9,28.407,28.175,28.42,28.503,28.561,28.629,28.663,28.804,28.845,28.888,28.968,29.014,29.102,29.217,29.214,29.298
9.5,28.382,28.211,28.423,28.502,28.588,28.635,28.695,28.819,28.854,28.873,28.971,29.064,29.13,29.232,29.221,29.317
10,28.414,28.247,28.425,28.508,28.612,28.639,28.698,28.81,28.841,28.859,28.955,29.079,29.133,29.191,29.248,29.298
10.5,28.438,28.233,28.401,28.497,28.57,28.611,28.652,28.771,28.809,28.852,28.931,29.035,29.112,29.13,29.243,29.248
