Depth [m],6/15/2012 18:13,6/15/2012 18:16,6/15/2012 18:19,6/15/2012 18:22,6/15/2012 18:25,6/15/2012 18:28,6/15/2012 18:31,6/15/2012 18:34,6/15/2012 18:36,6/15/2012 18:39
0,29.906,29.53,29.615,29.595,29.544,29.578,29.565,29.53,29.52,29.493
0.5,29.892,29.546,29.602,29.624,29.566,29.577,29.606,29.555,29.528,29.483
1,29.907,29.598,29.632,29.663,29.621,29.613,29.66,29.614,29.557,29.492
1.5,29.922,29.608,29.663,29.664,29.651,29.646,29.656,29.647,29.571,29.504
2,29.907,29.558,29.669,29.65,29.651,29.664,29.616,29.641,29.571,29.525
2.5,29.888,29.536,29.657,29.656,29.646,29.686,29.612,29.642,29.588,29.577
3,29.892,29.583,29.638,29.666,29.635,29.694,29.632,29.655,29.621,29.631
3.5,29.906,29.635,29.629,29.651,29.604,29.662,29.629,29.645,29.627,29.634
4,29.915,29.648,29.643,29.64,29.586,29.631,29.623,29.613,29.596,29.591
4.5,29.896,29.623,29.649,29.645,29.591,29.638,29.631,29.584,29.552,29.535
5,29.825,29.545,29.599,29.616,29.567,29.632,29.595,29.547,29.502,29.469
5.5,29.766,29.466,29.544,29.56,29.514,29.582,29.507,29.507,29.473,29.424
6,29.807,29.483,29.574,29.558,29.511,29.552,29.46,29.499,29.501,29.449
6.5,29.894,29.559,29.641,29.614,29.565,29.57,29.496,29.517,29.541,29.5
7,29.898,29.566,29.628,29.632,29.591,29.573,29.547,29.521,29.524,29.495
7.5,29.82,29.493,29.542,29.578,29.554,29.534,29.552,29.501,29.48,29.452
8,29.773,29.452,29.497,29.533,29.524,29.516,29.536,29.485,29.476,29.44
8.5,29.824,29.51,29.544,29.56,29.566,29.573,29.554,29.502,29.51,29.471
9,29.92,29.608,29.615,29.621,29.64,29.654,29.61,29.549,29.544,29.508
9.5,29.967,29.637,29.624,29.635,29.653,29.664,29.639,29.576,29.545,29.523
10,29.926,29.572,29.58,29.59,29.591,29.603,29.589,29.548,29.499,29.505
10.5,29.847,29.495,29.554,29.536,29.517,29.549,29.506,29.496,29.447,29.459
11,29.81,29.475,29.571,29.52,29.489,29.553,29.483,29.464,29.454,29.432
11.5,29.847,29.502,29.614,29.555,29.525,29.598,29.533,29.465,29.519,29.469
12,29.908,29.539,29.657,29.612,29.592,29.634,29.577,29.489,29.56,29.534
12.5,29.915,29.549,29.658,29.631,29.617,29.618,29.564,29.506,29.528,29.538
13,29.869,29.52,29.616,29.604,29.582,29.569,29.527,29.498,29.477,29.483
13.5,29.848,29.505,29.593,29.593,29.549,29.551,29.517,29.493,29.467,29.46
14,29.891,29.543,29.61,29.614,29.553,29.574,29.535,29.514,29.471,29.48
14.5,29.937,29.569,29.609,29.608,29.561,29.581,29.538,29.524,29.443,29.485
15,29.92,29.527,29.569,29.561,29.557,29.556,29.507,29.494,29.411,29.468
15.5,29.85,29.466,29.543,29.533,29.557,29.542,29.488,29.465,29.423,29.451
16,29.782,29.442,29.546,29.537,29.549,29.548,29.508,29.475,29.454,29.425
16.5,29.764,29.458,29.56,29.549,29.529,29.554,29.536,29.502,29.461,29.397
17,29.799,29.496,29.575,29.56,29.516,29.539,29.534,29.495,29.443,29.389
17.5,29.854,29.541,29.591,29.58,29.526,29.516,29.521,29.459,29.43,29.407
18,29.9,29.576,29.603,29.595,29.545,29.511,29.528,29.441,29.437,29.44
18.5,29.914,29.589,29.6,29.595,29.551,29.526,29.534,29.451,29.448,29.463
19,29.885,29.574,29.583,29.599,29.543,29.539,29.511,29.461,29.443,29.451
19.5,29.834,29.536,29.572,29.606,29.531,29.551,29.48,29.457,29.426,29.422
20,29.802,29.507,29.575,29.594,29.525,29.581,29.479,29.452,29.421,29.422
20.5,29.816,29.524,29.587,29.576,29.532,29.612,29.503,29.459,29.436,29.447
21,29.863,29.581,29.615,29.586,29.549,29.611,29.524,29.485,29.463,29.449
21.5,29.912,29.626,29.652,29.622,29.574,29.591,29.546,29.519,29.485,29.426
22,29.932,29.618,29.668,29.651,29.593,29.58,29.578,29.531,29.494,29.413
22.5,29.915,29.581,29.657,29.651,29.589,29.573,29.594,29.513,29.491,29.426
23,29.884,29.562,29.647,29.63,29.577,29.561,29.567,29.497,29.483,29.445
23.5,29.868,29.56,29.637,29.599,29.57,29.549,29.519,29.496,29.471,29.453
24,29.853,29.536,29.602,29.556,29.552,29.542,29.495,29.492,29.447,29.443
24.5,29.827,29.502,29.574,29.534,29.534,29.548,29.505,29.482,29.426,29.422
25,29.816,29.505,29.6,29.572,29.541,29.569,29.511,29.484,29.426,29.415
25.5,29.827,29.526,29.638,29.623,29.552,29.58,29.484,29.474,29.42,29.421
26,29.81,29.51,29.608,29.609,29.53,29.562,29.449,29.434,29.387,29.418
26.5,29.751,29.46,29.522,29.553,29.495,29.528,29.441,29.398,29.368,29.396
27,29.711,29.416,29.459,29.509,29.462,29.496,29.447,29.402,29.39,29.373
27.5,29.732,29.4,29.458,29.478,29.439,29.477,29.441,29.428,29.413,29.363
28,29.782,29.418,29.504,29.47,29.455,29.477,29.435,29.452,29.409,29.372
28.5,29.803,29.44,29.541,29.5,29.513,29.473,29.45,29.466,29.403,29.393
29,29.79,29.449,29.536,29.52,29.55,29.458,29.476,29.454,29.406,29.411
29.5,29.797,29.476,29.533,29.507,29.543,29.464,29.491,29.439,29.407,29.427
30,29.83,29.506,29.555,29.514,29.528,29.495,29.482,29.453,29.407,29.449
30.5,29.819,29.47,29.555,29.539,29.505,29.494,29.46,29.465,29.412,29.465
31,29.763,29.409,29.534,29.528,29.467,29.468,29.457,29.442,29.419,29.457
31.5,29.749,29.424,29.541,29.496,29.461,29.487,29.482,29.427,29.429,29.43
32,29.78,29.473,29.543,29.486,29.482,29.532,29.492,29.443,29.434,29.399
32.5,29.771,29.448,29.487,29.476,29.469,29.52,29.453,29.445,29.412,29.374
33,29.734,29.388,29.445,29.455,29.433,29.467,29.411,29.425,29.373,29.378
33.5,29.748,29.393,29.489,29.469,29.441,29.452,29.42,29.425,29.357,29.415
34,29.788,29.438,29.55,29.513,29.482,29.473,29.455,29.448,29.372,29.435
34.5,29.77,29.435,29.532,29.519,29.48,29.468,29.468,29.448,29.384,29.403
35,29.729,29.405,29.472,29.494,29.436,29.438,29.471,29.426,29.39,29.372
35.5,29.752,29.422,29.473,29.502,29.441,29.444,29.509,29.442,29.423,29.393
36,29.813,29.46,29.533,29.529,29.498,29.492,29.557,29.501,29.463,29.424
36.5,29.813,29.447,29.554,29.515,29.507,29.507,29.546,29.52,29.46,29.417
37,29.764,29.414,29.51,29.482,29.45,29.476,29.478,29.466,29.433,29.412
37.5,29.76,29.436,29.486,29.496,29.439,29.47,29.438,29.419,29.424,29.442
38,29.8,29.49,29.523,29.544,29.513,29.503,29.464,29.437,29.424,29.459
38.5,29.803,29.499,29.552,29.548,29.563,29.497,29.501,29.467,29.414,29.424
39,29.756,29.453,29.521,29.486,29.52,29.44,29.489,29.446,29.415,29.369
39.5,29.737,29.427,29.49,29.441,29.449,29.425,29.459,29.416,29.44,29.354
40,29.789,29.48,29.532,29.481,29.438,29.495,29.468,29.443,29.46,29.397
40.5,29.845,29.543,29.594,29.537,29.473,29.551,29.486,29.483,29.443,29.438
41,29.823,29.504,29.576,29.52,29.473,29.506,29.45,29.456,29.391,29.418
41.5,29.756,29.417,29.51,29.468,29.428,29.438,29.408,29.393,29.349,29.383
42,29.734,29.404,29.496,29.468,29.409,29.444,29.44,29.367,29.355,29.393
42.5,29.753,29.426,29.515,29.498,29.427,29.477,29.492,29.361,29.39,29.407
43,29.754,29.386,29.477,29.496,29.426,29.464,29.475,29.352,29.402,29.382
43.5,29.743,29.339,29.41,29.479,29.405,29.441,29.42,29.377,29.392,29.362
44,29.764,29.38,29.413,29.484,29.415,29.455,29.411,29.437,29.399,29.377
44.5,29.796,29.448,29.49,29.498,29.454,29.468,29.443,29.472,29.422,29.387
45,29.78,29.444,29.549,29.491,29.465,29.449,29.454,29.454,29.432,29.38
45.5,29.737,29.403,29.535,29.484,29.442,29.431,29.428,29.418,29.422,29.389
46,29.757,29.417,29.499,29.511,29.435,29.444,29.411,29.4,29.411,29.42
46.5,29.836,29.483,29.494,29.548,29.461,29.473,29.429,29.416,29.415,29.436
47,29.853,29.507,29.497,29.533,29.468,29.495,29.452,29.452,29.425,29.416
47.5,29.773,29.452,29.479,29.471,29.435,29.504,29.451,29.47,29.416,29.384
48,29.712,29.384,29.462,29.435,29.409,29.495,29.436,29.453,29.388,29.372
48.5,29.734,29.366,29.467,29.449,29.423,29.476,29.438,29.431,29.381,29.38
49,29.776,29.381,29.476,29.463,29.447,29.469,29.463,29.432,29.402,29.387
49.5,29.78,29.395,29.474,29.452,29.435,29.484,29.481,29.444,29.417,29.384
50,29.756,29.407,29.475,29.44,29.399,29.491,29.461,29.439,29.415,29.382
50.5,29.726,29.417,29.482,29.434,29.382,29.47,29.416,29.415,29.401,29.388
51,29.711,29.418,29.477,29.424,29.394,29.433,29.382,29.391,29.373,29.395
51.5,29.725,29.414,29.457,29.425,29.407,29.408,29.374,29.391,29.348,29.397
52,29.733,29.395,29.43,29.442,29.412,29.409,29.379,29.407,29.358,29.395
52.5,29.685,29.355,29.402,29.444,29.419,29.426,29.391,29.403,29.384,29.379
53,29.623,29.329,29.39,29.421,29.418,29.447,29.418,29.388,29.392,29.353
53.5,29.631,29.362,29.415,29.417,29.41,29.467,29.458,29.404,29.398,29.354
54,29.698,29.416,29.46,29.449,29.415,29.475,29.486,29.437,29.417,29.401
54.5,29.731,29.425,29.485,29.475,29.433,29.459,29.484,29.43,29.422,29.445
55,29.702,29.393,29.48,29.478,29.444,29.445,29.458,29.399,29.398,29.437
55.5,29.688,29.388,29.483,29.498,29.455,29.48,29.435,29.406,29.377,29.409
56,29.725,29.427,29.511,29.537,29.477,29.544,29.44,29.445,29.389,29.423
56.5,29.748,29.455,29.52,29.532,29.483,29.567,29.459,29.461,29.417,29.468
57,29.722,29.437,29.491,29.475,29.452,29.535,29.459,29.446,29.43,29.48
57.5,29.703,29.41,29.463,29.432,29.413,29.494,29.439,29.434,29.423,29.448
58,29.708,29.407,29.453,29.441,29.391,29.469,29.434,29.435,29.413,29.423
58.5,29.704,29.409,29.451,29.484,29.387,29.467,29.461,29.437,29.417,29.425
59,29.696,29.395,29.457,29.514,29.401,29.481,29.492,29.435,29.429,29.426
59.5,29.689,29.368,29.465,29.495,29.426,29.477,29.479,29.432,29.429,29.409
60,29.68,29.355,29.464,29.456,29.443,29.455,29.437,29.435,29.419,29.412
60.5,29.699,29.383,29.48,29.466,29.461,29.467,29.429,29.469,29.428,29.449
61,29.75,29.427,29.513,29.508,29.484,29.522,29.461,29.512,29.454,29.473
61.5,29.773,29.43,29.522,29.507,29.482,29.553,29.47,29.496,29.457,29.45
62,29.751,29.4,29.495,29.466,29.446,29.523,29.442,29.423,29.42,29.416
62.5,29.725,29.372,29.461,29.446,29.412,29.47,29.422,29.39,29.374,29.397
63,29.708,29.346,29.446,29.452,29.416,29.439,29.421,29.438,29.357,29.398
63.5,29.691,29.328,29.452,29.454,29.444,29.434,29.416,29.485,29.374,29.417
64,29.682,29.341,29.452,29.454,29.45,29.436,29.408,29.461,29.393,29.435
64.5,29.692,29.376,29.446,29.467,29.428,29.448,29.411,29.413,29.397,29.42
65,29.704,29.396,29.456,29.478,29.419,29.479,29.426,29.409,29.402,29.389
65.5,29.681,29.37,29.442,29.446,29.419,29.481,29.423,29.421,29.404,29.366
66,29.66,29.346,29.398,29.414,29.418,29.448,29.413,29.426,29.417,29.382
66.5,29.668,29.36,29.376,29.42,29.411,29.417,29.401,29.419,29.433,29.417
67,29.699,29.409,29.42,29.458,29.416,29.428,29.408,29.407,29.446,29.444
67.5,29.704,29.433,29.46,29.468,29.415,29.439,29.432,29.383,29.435,29.436
68,29.678,29.401,29.448,29.447,29.402,29.429,29.457,29.369,29.399,29.406
